the_geom,cartodb_id,ratio,sum,people_total_f,people_total_m,people_total,village,site_id
,146,0.306953080836631,543.00,1781,1769,"3,550.00",三民里,三重區
,147,0.315265776381252,"1,204.00",4000,3819,"7,819.00",光明里,三重區
,148,0.38755980861244,486.00,1302,1254,"2,556.00",光正里,三重區
,149,0.195187165775401,146.00,739,748,"1,487.00",同安里,三重區
,150,0.301705756929638,283.00,946,938,"1,884.00",同慶里,三重區
,151,0.239547038327526,275.00,1203,1148,"2,351.00",菜寮里,三重區
,152,0.264990328820116,274.00,1065,1034,"2,099.00",永春里,三重區
,153,0.273858921161826,198.00,709,723,"1,432.00",中正里,三重區
,154,0.28,203.00,732,725,"1,457.00",吉利里,三重區
,155,0.315789473684211,306.00,1064,969,"2,033.00",大同里,三重區
,156,0.239940387481371,161.00,661,671,"1,332.00",中民里,三重區
,157,0.173806609547124,142.00,779,817,"1,596.00",平和里,三重區
,158,0.249134948096886,216.00,862,867,"1,729.00",大安里,三重區
,159,0.228837209302326,246.00,1019,1075,"2,094.00",仁德里,三重區
,160,0.249448123620309,226.00,891,906,"1,797.00",忠孝里,三重區
,161,0.216260162601626,133.00,616,615,"1,231.00",仁義里,三重區
,162,0.317039106145251,227.00,739,716,"1,455.00",光榮里,三重區
,163,0.283767038413879,229.00,795,807,"1,602.00",光輝里,三重區
,164,0.330078125,169.00,553,512,"1,065.00",福星里,三重區
,165,0.335695305580159,379.00,1309,1129,"2,438.00",福利里,三重區
,166,0.338305807139052,635.00,2072,1877,"3,949.00",清和里,三重區
,167,0.274390243902439,180.00,701,656,"1,357.00",永興里,三重區
,168,0.328994938539407,455.00,1447,1383,"2,830.00",中山里,三重區
,169,0.250170881749829,366.00,1451,1463,"2,914.00",大園里,三重區
,170,0.269956458635704,372.00,1483,1378,"2,861.00",國隆里,三重區
,171,0.282608695652174,546.00,1943,1932,"3,875.00",重陽里,三重區
,172,0.235711120957023,532.00,2317,2257,"4,574.00",民生里,三重區
,173,0.265333333333333,199.00,768,750,"1,518.00",重新里,三重區
,174,0.254668930390492,150.00,632,589,"1,221.00",正德里,三重區
,175,0.27420998980632,269.00,971,981,"1,952.00",正義里,三重區
,176,0.264150943396226,266.00,1059,1007,"2,066.00",正安里,三重區
,177,0.247872340425532,233.00,969,940,"1,909.00",自強里,三重區
,178,0.278662420382166,350.00,1248,1256,"2,504.00",文化里,三重區
,179,0.247787610619469,224.00,916,904,"1,820.00",中央里,三重區
,180,0.225868725868726,117.00,510,518,"1,028.00",雙園里,三重區
,181,0.229249011857708,174.00,827,759,"1,586.00",錦通里,三重區
,182,0.25,230.00,996,920,"1,916.00",錦安里,三重區
,183,0.235597592433362,274.00,1170,1163,"2,333.00",長安里,三重區
,184,0.296333002973241,299.00,1015,1009,"2,024.00",光華里,三重區
,185,0.296052631578947,135.00,466,456,922.00,長生里,三重區
,186,0.279220779220779,215.00,780,770,"1,550.00",開元里,三重區
,187,0.250632911392405,99.00,438,395,833.00,大德里,三重區
,188,0.234172387490465,307.00,1288,1311,"2,599.00",長元里,三重區
,189,0.25749063670412,275.00,1083,1068,"2,151.00",長江里,三重區
,190,0.214765100671141,256.00,1179,1192,"2,371.00",長泰里,三重區
,191,0.219264892268695,173.00,856,789,"1,645.00",長福里,三重區
,192,0.253267973856209,155.00,638,612,"1,250.00",介壽里,三重區
,193,0.254528122020972,267.00,1106,1049,"2,155.00",萬壽里,三重區
,194,0.215844785772029,267.00,1240,1237,"2,477.00",錦江里,三重區
,195,0.247777119146414,418.00,1793,1687,"3,480.00",龍濱里,三重區
,196,0.248234106962664,246.00,1030,991,"2,021.00",龍門里,三重區
,197,0.218666666666667,164.00,746,750,"1,496.00",秀江里,三重區
,198,0.254665203073546,232.00,939,911,"1,850.00",奕壽里,三重區
,199,0.266171003717472,358.00,1448,1345,"2,793.00",三安里,三重區
,200,0.275774826059456,436.00,1620,1581,"3,201.00",福安里,三重區
,201,0.295677799607073,301.00,1060,1018,"2,078.00",信安里,三重區
,202,0.235787511649581,253.00,1112,1073,"2,185.00",安慶里,三重區
,203,0.264543524416136,623.00,2435,2355,"4,790.00",幸福里,三重區
,204,0.246561385634233,484.00,1977,1963,"3,940.00",六合里,三重區
,205,0.270307167235495,792.00,3026,2930,"5,956.00",六福里,三重區
,206,0.201144726083401,246.00,1127,1223,"2,350.00",順德里,三重區
,207,0.238955823293173,238.00,974,996,"1,970.00",承德里,三重區
,208,0.207532051282051,259.00,1305,1248,"2,553.00",瑞德里,三重區
,209,0.204746393671475,440.00,2080,2149,"4,229.00",崇德里,三重區
,210,0.280481423338566,536.00,1964,1911,"3,875.00",厚德里,三重區
,211,0.240183246073298,367.00,1628,1528,"3,156.00",維德里,三重區
,212,0.246540880503145,392.00,1696,1590,"3,286.00",尚德里,三重區
,213,0.289847715736041,571.00,2012,1970,"3,982.00",培德里,三重區
,214,0.22987208427389,611.00,2738,2658,"5,396.00",永德里,三重區
,215,0.232142857142857,403.00,1836,1736,"3,572.00",永盛里,三重區
,216,0.226034665723382,639.00,3068,2827,"5,895.00",永福里,三重區
,217,0.236588720770289,688.00,3121,2908,"6,029.00",永清里,三重區
,218,0.228689275893676,499.00,2277,2182,"4,459.00",永安里,三重區
,219,0.235080058224163,323.00,1301,1374,"2,675.00",永煇里,三重區
,220,0.27115289460663,"1,096.00",4280,4042,"8,322.00",溪美里,三重區
,221,0.281169389509888,654.00,2507,2326,"4,833.00",福隆里,三重區
,222,0.230804179918219,508.00,2246,2201,"4,447.00",五常里,三重區
,223,0.287621982537237,560.00,2094,1947,"4,041.00",五福里,三重區
,224,0.188100961538462,313.00,1699,1664,"3,363.00",仁忠里,三重區
,225,0.226768968456948,266.00,1150,1173,"2,323.00",慈福里,三重區
,226,0.222502099076406,265.00,1237,1191,"2,428.00",慈生里,三重區
,227,0.237333333333333,267.00,1143,1125,"2,268.00",慈惠里,三重區
,228,0.220821917808219,403.00,1878,1825,"3,703.00",慈愛里,三重區
,229,0.243920972644377,321.00,1388,1316,"2,704.00",慈化里,三重區
,230,0.252100840336134,630.00,2509,2499,"5,008.00",慈祐里,三重區
,231,0.295774647887324,777.00,2842,2627,"5,469.00",五華里,三重區
,232,0.371271076523995,"1,145.00",3387,3084,"6,471.00",富貴里,三重區
,233,0.25503742084053,443.00,1656,1737,"3,393.00",富華里,三重區
,234,0.221904761904762,233.00,1110,1050,"2,160.00",富福里,三重區
,235,0.391389983117614,"1,391.00",3873,3554,"7,427.00",碧華里,三重區
,236,0.264428121720881,252.00,873,953,"1,826.00",五谷里,三重區
,237,0.279862009486848,649.00,2452,2319,"4,771.00",博愛里,三重區
,238,0.281603288797533,548.00,2188,1946,"4,134.00",福德里,三重區
,239,0.236294896030246,375.00,1695,1587,"3,282.00",永吉里,三重區
,240,0.317593790426908,982.00,3088,3092,"6,180.00",永發里,三重區
,241,0.240754716981132,638.00,2841,2650,"5,491.00",永順里,三重區
,242,0.216956802063185,673.00,3238,3102,"6,340.00",永豐里,三重區
,243,0.264739229024943,467.00,1848,1764,"3,612.00",立德里,三重區
