代碼,學校名稱,公/私立,縣市名稱,地址
14639,市立錦和國小,公立,新北市,[235]新北市中和區圓通路292號
14640,市立景新國小,公立,新北市,[235]新北市中和區景新街467巷37號
14641,市立永和國小,公立,新北市,[234]新北市永和區秀朗路一段120號
14642,市立秀朗國小,公立,新北市,[234]新北市永和區得和路202號
14643,市立頂溪國小,公立,新北市,[234]新北市永和區文化路133號
14644,市立網溪國小,公立,新北市,[234]新北市永和區竹林路79號
14645,市立永平國小,公立,新北市,[234]新北市永和區保生路25號
14646,市立土城國小,公立,新北市,[236]新北市土城區興城路17號
14647,市立清水國小,公立,新北市,[236]新北市土城區金城路二段356號
14648,市立頂埔國小,公立,新北市,[236]新北市土城區頂福里中央路四段205號
14649,市立廣福國小,公立,新北市,[236]新北市土城區學府路一段127號
14650,市立汐止國小,公立,新北市,[221]新北市汐止區大同路二段313號
14651,市立長安國小,公立,新北市,[221]新北市汐止區長興街一段80號
14652,市立保長國小,公立,新北市,[221]新北市汐止區大同路三段553號
14653,市立崇德國小,公立,新北市,[221]新北市汐止區茄苳里茄苳路158號
14654,市立北港國小,公立,新北市,[221]新北市汐止區汐萬路二段279號
14655,市立北峰國小,公立,新北市,[221]新北市汐止區中興里環河街1號
14656,市立東山國小,公立,新北市,[221]新北市汐止區東山里汐平路二段76號
14657,市立白雲國小,公立,新北市,[221]新北市汐止區福山里民權街二段90號
14658,市立萬里國小,公立,新北市,[207]新北市萬里區瑪鋉路18號
14659,市立野柳國小,公立,新北市,[207]新北市萬里區野柳里港東路167號
14660,市立大鵬國小,公立,新北市,[207]新北市萬里區大鵬里加投路14號
14661,市立大坪國小,公立,新北市,[207]新北市萬里區雙興里大坪路1號
14662,市立崁腳國小,公立,新北市,[207]新北市萬里區崁脚里崁脚路59號
14663,市立金山國小,公立,新北市,[208]新北市金山區中山路234號
14664,市立中角國小,公立,新北市,[208]新北市金山區萬壽里海興路49號
14665,市立三和國小,公立,新北市,[208]新北市金山區重和里十一鄰六股林口38號
14666,市立新店國小,公立,新北市,[231]新北市新店區新店路2號
14667,市立直潭國小,公立,新北市,[231]新北市新店區直潭路92號
14668,市立青潭國小,公立,新北市,[231]新北市新店區北宜路二段80號
14669,市立雙峰國小,公立,新北市,[231]新北市新店區北宜路三段66號
14670,市立大豐國小,公立,新北市,[231]新北市新店區民族路108號
14671,市立中正國小,公立,新北市,[231]新北市新店區三民路36號
14672,市立安坑國小,公立,新北市,[231]新北市新店區安忠路36號
14673,市立雙城國小,公立,新北市,[231]新北市新店區安康路三段322號
14674,市立屈尺國小,公立,新北市,[231]新北市新店區屈尺路55號
14675,市立龜山國小,公立,新北市,[231]新北市新店區新烏路三段99巷10號
14676,市立深坑國小,公立,新北市,[222]新北市深坑區深坑里文化街45號
14677,市立石碇國小,公立,新北市,[223]新北市石碇區石碇里石碇西街15號
14678,市立和平國小,公立,新北市,[223]新北市石碇區隆盛里八分寮5號
14679,市立永定國小,公立,新北市,[223]新北市石碇區永定里靜安路一段245號
14680,市立雲海國小,公立,新北市,[223]新北市石碇區北宜路五段坑內巷1號
14682,市立坪林國小,公立,新北市,[232]新北市坪林區坪林里坪林街114號
14684,市立烏來國(中)小,公立,新北市,[233]新北市烏來區啦卡路5號
14685,市立福山國小,公立,新北市,[233]新北市烏來區福山里李茂岸56號
14686,市立瑞芳國小,公立,新北市,[224]新北市瑞芳區龍川里中山路2號
14687,市立義方國小,公立,新北市,[224]新北市瑞芳區龍山里逢甲路360號
14688,市立瑞柑國小,公立,新北市,[224]新北市瑞芳區明燈路一段18巷13號
14689,市立瑞濱國小,公立,新北市,[224]新北市瑞芳區瑞濱路34號
14690,市立九份國小,公立,新北市,[224]新北市瑞芳區永慶里崙頂路145號
14691,市立瓜山國小,公立,新北市,[224]新北市瑞芳區石山里五號路306號
14692,市立濂洞國小,公立,新北市,[224]新北市瑞芳區濓洞里洞頂路101巷80號
14693,市立猴硐國小,公立,新北市,[224]新北市瑞芳區弓橋里九芎橋路69-1號
14694,市立瑞亭國小,公立,新北市,[224]新北市瑞芳區四腳亭埔路23號
14695,市立吉慶國小,公立,新北市,[224]新北市瑞芳區吉安里大埔路95號
14696,市立鼻頭國小,公立,新北市,[224]新北市瑞芳區鼻頭里鼻頭路99號
14697,市立雙溪國小,公立,新北市,[227]新北市雙溪區共和里東榮街54號
14698,市立柑林國小,公立,新北市,[227]新北市雙溪區長源里柑腳3號
14699,市立上林國小,公立,新北市,[227]新北市雙溪區上林里內平林60號
14700,市立牡丹國小,公立,新北市,[227]新北市雙溪區三貂里政光路3號
14702,市立貢寮國小,公立,新北市,[228]新北市貢寮區雙玉里學苑街7號
14703,市立福隆國小,公立,新北市,[228]新北市貢寮區福隆里東興街35號
14704,市立澳底國小,公立,新北市,[228]新北市貢寮區真理里延平街10號
14706,市立和美國小,公立,新北市,[228]新北市貢寮區和美里龍洞街1之9號
14708,市立福連國小,公立,新北市,[228]新北市貢寮區福連里福連街1號
14709,市立平溪國小,公立,新北市,[226]新北市平溪區平溪街56號
14710,市立菁桐國小,公立,新北市,[226]新北市平溪區菁桐街45號
14711,市立十分國小,公立,新北市,[226]新北市平溪區十分里十分街157號
14712,市立淡水國小,公立,新北市,[251]新北市淡水區協元里中山路160號
14713,市立育英國小,公立,新北市,[251]新北市淡水區埤島里14號
14714,市立文化國小,公立,新北市,[251]新北市淡水區文化里真理街6號
14715,市立天生國小,公立,新北市,[251]新北市淡水區淡海路72巷26號
14716,市立水源國小,公立,新北市,[251]新北市淡水區水源里北新路二段15號
14717,市立興仁國小,公立,新北市,[251]新北市淡水區興仁路101巷10號
14718,市立忠山國小,公立,新北市,[251]新北市淡水區忠山里行忠路899號
14719,市立屯山國小,公立,新北市,[251]新北市淡水區淡金路五段111號
14720,市立中泰國小,公立,新北市,[251]新北市淡水區中和里北勢子5號
14721,市立坪頂國小,公立,新北市,[251]新北市淡水區坪頂路757號
