the_geom,cartodb_id,ratio,field_6,people_total_f,people_total_m,people_total,village,site_id
,271,3.66266173752311,"1,082.00",4524,3963,"8,487.00",新南里,中和區
,272,4.701230228471,569.00,2801,2675,"5,476.00",南山里,中和區
,273,1.39393939393939,"1,617.00",2435,2254,"4,689.00",秀山里,中和區
,274,1.77766699900299,"1,003.00",1857,1783,"3,640.00",秀成里,中和區
,275,3.05290322580645,775.00,2533,2366,"4,899.00",秀福里,中和區
,276,4.80418535127055,669.00,3307,3214,"6,521.00",秀景里,中和區
,277,2.52,950.00,2763,2394,"5,157.00",秀明里,中和區
,278,1.63605728727885,"1,187.00",2242,1942,"4,184.00",秀峰里,中和區
,279,1.71696149843913,961.00,1710,1650,"3,360.00",秀仁里,中和區
,280,2.26793557833089,683.00,1631,1549,"3,180.00",頂南里,中和區
,281,6.37261698440208,577.00,3940,3677,"7,617.00",華新里,中和區
,282,4.06015037593985,532.00,2249,2160,"4,409.00",東南里,中和區
,283,2.35031847133758,"1,099.00",2663,2583,"5,246.00",華南里,中和區
,284,3.19225967540574,801.00,2584,2557,"5,141.00",忠孝里,中和區
,285,2.22015334063527,913.00,2166,2027,"4,193.00",崇南里,中和區
,286,25.3809523809524,63.00,1741,1599,"3,340.00",景南里,中和區
,287,0.254281949934124,759.00,173,193,366.00,橫路里,中和區
,288,3.4974293059126,778.00,2634,2721,"5,355.00",內南里,中和區
,289,2.5533199195171,497.00,1232,1269,"2,501.00",壽南里,中和區
,290,166.76,25.00,3283,4169,"7,452.00",外南里,中和區
,291,3.26269035532995,788.00,2863,2571,"5,434.00",復興里,中和區
,292,5.88,375.00,2389,2205,"4,594.00",和興里,中和區
,293,3.22409638554217,830.00,2975,2676,"5,651.00",景平里,中和區
,294,2.24371859296482,796.00,1945,1786,"3,731.00",景新里,中和區
,295,3.63983628922237,733.00,2996,2668,"5,664.00",景福里,中和區
,296,2.32432432432432,"1,036.00",2499,2408,"4,907.00",景安里,中和區
,297,2.97459165154265,551.00,1701,1639,"3,340.00",景文里,中和區
,298,2.91776649746193,985.00,3003,2874,"5,877.00",錦和里,中和區
,299,1.3758389261745,894.00,1183,1230,"2,413.00",錦昌里,中和區
,300,0.737104825291181,601.00,400,443,843.00,灰󿾨里,中和區
,301,4.64665911664779,883.00,4378,4103,"8,481.00",積穗里,中和區
,302,3.10169491525424,413.00,1330,1281,"2,611.00",民享里,中和區
,303,38.7790697674419,86.00,3501,3335,"6,836.00",員山里,中和區
,304,1.04166666666667,"1,344.00",1402,1400,"2,802.00",嘉穗里,中和區
,305,6.89514066496164,391.00,2837,2696,"5,533.00",文元里,中和區
,306,2.13729508196721,976.00,2112,2086,"4,198.00",嘉新里,中和區
,307,6.1042654028436,422.00,2596,2576,"5,172.00",民安里,中和區
,308,3.0996015936255,753.00,2462,2334,"4,796.00",安穗里,中和區
,309,2.21804511278196,532.00,1354,1180,"2,534.00",瑞穗里,中和區
,310,3.41977077363897,698.00,2390,2387,"4,777.00",明穗里,中和區
,311,2.61203007518797,665.00,1676,1737,"3,413.00",清穗里,中和區
,312,7.27777777777778,360.00,2682,2620,"5,302.00",自強里,中和區
,313,2.70470588235294,850.00,2393,2299,"4,692.00",德穗里,中和區
,314,4.53131749460043,463.00,2274,2098,"4,372.00",民生里,中和區
,315,2.67379679144385,748.00,2098,2000,"4,098.00",國光里,中和區
,316,3.00257731958763,776.00,2518,2330,"4,848.00",壽德里,中和區
,317,2.96193265007321,683.00,2088,2023,"4,111.00",明德里,中和區
,318,2.84825493171472,659.00,2005,1877,"3,882.00",秀水里,中和區
,319,4.53970390309556,743.00,3568,3373,"6,941.00",德行里,中和區
,320,1.85370741482966,499.00,964,925,"1,889.00",宜安里,中和區
,321,3.80430879712747,557.00,2398,2119,"4,517.00",安順里,中和區
,322,1.00950987564009,"1,367.00",1367,1380,"2,747.00",秀義里,中和區
,323,3.51540616246499,357.00,1315,1255,"2,570.00",秀士里,中和區
,324,1.94806763285024,828.00,1705,1613,"3,318.00",興南里,中和區
,325,2.24948024948025,481.00,1166,1082,"2,248.00",景本里,中和區
,326,4.95632183908046,435.00,2384,2156,"4,540.00",福南里,中和區
