site_id,village,people_total,people_total_m,people_total_f,sum,ratio
區域別,村里,人口數,人口數-男,人口數-女,sum,ratio
中和區,民享里,"2,611.00",1281,1330,391.00,0.305230288836846
中和區,員山里,"6,836.00",3335,3501,976.00,0.292653673163418
中和區,嘉穗里,"2,802.00",1400,1402,422.00,0.301428571428571
中和區,文元里,"5,533.00",2696,2837,753.00,0.279302670623145
中和區,嘉新里,"4,198.00",2086,2112,532.00,0.25503355704698
中和區,民安里,"5,172.00",2576,2596,698.00,0.270962732919255
中和區,安穗里,"4,796.00",2334,2462,665.00,0.284918594687232
中和區,瑞穗里,"2,534.00",1180,1354,360.00,0.305084745762712
中和區,明穗里,"4,777.00",2387,2390,850.00,0.35609551738584
中和區,清穗里,"3,413.00",1737,1676,463.00,0.266551525618883
中和區,自強里,"5,302.00",2620,2682,748.00,0.285496183206107
中和區,德穗里,"4,692.00",2299,2393,776.00,0.337538060026098
中和區,民生里,"4,372.00",2098,2274,683.00,0.325548141086749
中和區,國光里,"4,098.00",2000,2098,659.00,0.3295
中和區,壽德里,"4,848.00",2330,2518,743.00,0.318884120171674
中和區,明德里,"4,111.00",2023,2088,499.00,0.246663371230845
中和區,秀水里,"3,882.00",1877,2005,557.00,0.296750133191263
中和區,德行里,"6,941.00",3373,3568,"1,367.00",0.405277201304477
中和區,宜安里,"1,889.00",925,964,357.00,0.385945945945946
中和區,安順里,"4,517.00",2119,2398,828.00,0.390750353940538
中和區,秀義里,"2,747.00",1380,1367,481.00,0.348550724637681
中和區,秀士里,"2,570.00",1255,1315,435.00,0.346613545816733
中和區,興南里,"3,318.00",1613,1705,471.00,0.292002479851209
中和區,景本里,"2,248.00",1082,1166,346.00,0.319778188539741
中和區,福南里,"4,540.00",2156,2384,670.00,0.310760667903525
中和區,中興里,"7,132.00",3435,3697,"1,357.00",0.395050946142649
中和區,吉興里,"3,146.00",1442,1704,541.00,0.375173370319001
中和區,中山里,"3,020.00",1481,1539,444.00,0.299797434166104
中和區,碧河里,"4,341.00",2137,2204,674.00,0.315395414131961
中和區,錦中里,"4,414.00",2156,2258,615.00,0.285250463821892
中和區,錦盛里,"4,120.00",2008,2112,537.00,0.267430278884462
中和區,民有里,"2,910.00",1446,1464,411.00,0.284232365145228
中和區,員富里,"3,542.00",1783,1759,463.00,0.25967470555244
中和區,嘉慶里,"4,585.00",2286,2299,568.00,0.248468941382327
中和區,冠穗里,"3,524.00",1784,1740,641.00,0.359304932735426
中和區,國華里,"3,482.00",1737,1745,481.00,0.276914219919401
中和區,正南里,"3,730.00",1871,1859,544.00,0.290753607696419
中和區,正行里,"3,139.00",1499,1640,537.00,0.358238825883923
永和區,福林里,"3,582.00",1741,1841,714.00,0.410109132682366
永和區,文化里,"2,895.00",1381,1514,526.00,0.380883417813179
永和區,豫溪里,"4,988.00",2556,2432,875.00,0.342331768388106
