statistic_yyy,site_id,village,edu_age_15up_total,edu_senior_ungraduated_m,edu_senior_ungraduated_f,sum_highschool
統計年,區域別,村里名稱,總計,高肄_男,高肄_女,sum_highschool
105,內湖區,港都里,4955,219,342,561
105,內湖區,港富里,8612,484,592,1076
105,內湖區,港華里,8024,436,570,1006
105,內湖區,內湖里,5430,282,384,666
105,內湖區,湖濱里,7454,310,459,769
105,內湖區,紫星里,7310,407,569,976
105,內湖區,大湖里,5039,175,300,475
105,內湖區,金龍里,4936,327,385,712
105,內湖區,金瑞里,6083,318,445,763
105,內湖區,碧山里,6344,373,492,865
105,內湖區,紫雲里,5362,345,374,719
105,內湖區,清白里,7601,281,481,762
105,內湖區,葫洲里,6344,276,405,681
105,內湖區,紫陽里,7432,354,484,838
105,內湖區,瑞陽里,7197,336,443,779
105,內湖區,瑞光里,4248,216,326,542
105,內湖區,五分里,9454,650,757,1407
105,內湖區,東湖里,7020,441,586,1027
105,內湖區,樂康里,7806,502,653,1155
105,內湖區,內溝里,4396,264,308,572
105,內湖區,週美里,7116,458,538,996
105,內湖區,行善里,6175,467,462,929
105,內湖區,石潭里,3460,211,232,443
105,內湖區,湖興里,7850,506,588,1094
105,內湖區,湖元里,5019,290,366,656
105,內湖區,安湖里,6987,396,555,951
105,內湖區,秀湖里,5794,213,383,596
105,內湖區,安泰里,4993,355,389,744
105,內湖區,金湖里,8403,209,427,636
105,內湖區,康寧里,7918,377,535,912
105,內湖區,明湖里,4789,256,363,619
105,內湖區,蘆洲里,1192,119,105,224
105,內湖區,麗山里,5346,274,387,661
105,內湖區,寶湖里,7469,223,393,616
105,內湖區,南湖里,4922,169,277,446
105,士林區,仁勇里,3620,242,276,518
105,士林區,義信里,2905,178,233,411
105,士林區,福林里,2767,157,186,343
105,士林區,福德里,5492,337,348,685
105,士林區,福志里,6993,297,430,727
105,士林區,舊佳里,5708,309,417,726
105,士林區,福佳里,7092,370,487,857
105,士林區,後港里,7519,492,578,1070
105,士林區,福中里,6184,399,509,908
105,士林區,前港里,4153,248,339,587
105,士林區,百齡里,6449,424,491,915
105,士林區,承德里,5184,282,354,636
105,士林區,福華里,5889,465,489,954
105,士林區,明勝里,4590,291,361,652
105,士林區,福順里,4829,311,366,677
105,士林區,富光里,5414,410,420,830
105,士林區,葫蘆里,6960,509,532,1041
105,士林區,葫東里,3773,287,305,592
105,士林區,社子里,5913,397,459,856
105,士林區,社新里,8328,622,684,1306
105,士林區,社園里,6676,497,528,1025
105,士林區,永倫里,6707,479,506,985
105,士林區,福安里,4508,291,298,589
105,士林區,富洲里,5423,394,388,782
105,士林區,岩山里,3158,149,221,370
105,士林區,名山里,6609,307,430,737
105,士林區,德行里,3987,209,314,523
105,士林區,德華里,5147,262,361,623
105,士林區,聖山里,4702,208,336,544
105,士林區,忠誠里,5177,194,319,513
105,士林區,芝山里,6929,316,468,784
105,士林區,東山里,4758,245,313,558
105,士林區,三玉里,5368,225,387,612
105,士林區,蘭雅里,7965,345,564,909
105,士林區,蘭興里,5967,274,413,687
105,士林區,天福里,5656,242,387,629
105,士林區,天祿里,4728,205,334,539
105,士林區,天壽里,4581,162,278,440
105,士林區,天和里,6885,223,415,638
105,士林區,天山里,6386,228,363,591
105,士林區,天玉里,7926,257,443,700
105,士林區,天母里,6093,231,362,593
105,士林區,永福里,1179,63,77,140
105,士林區,公館里,1314,101,79,180
105,士林區,新安里,1844,136,104,240
105,士林區,陽明里,2869,161,162,323
105,士林區,菁山里,1519,111,98,209
105,士林區,平等里,1414,110,111,221
105,士林區,溪山里,1360,126,108,234
105,士林區,翠山里,2524,88,147,235
105,士林區,臨溪里,2754,156,176,332
105,北投區,建民里,3918,216,289,505
105,北投區,文林里,3856,217,262,479
105,北投區,石牌里,4886,263,348,611
105,北投區,福興里,6271,391,483,874
105,北投區,榮光里,6524,351,490,841
105,北投區,榮華里,6810,235,383,618
105,北投區,裕民里,7026,374,474,848
105,北投區,振華里,6979,363,513,876
105,北投區,永和里,8340,357,549,906
105,北投區,永欣里,7066,205,386,591
105,北投區,永明里,4285,218,275,493
105,北投區,東華里,3988,212,287,499
105,北投區,吉利里,6117,321,465,786
105,北投區,吉慶里,4641,257,317,574
105,北投區,尊賢里,4211,250,307,557
105,北投區,立賢里,4862,294,408,702
105,北投區,立農里,8101,475,581,1056
105,北投區,八仙里,5089,275,366,641
105,北投區,洲美里,1876,138,159,297
105,北投區,奇岩里,9065,516,649,1165
105,北投區,清江里,8865,646,700,1346
105,北投區,中央里,7900,498,656,1154
105,北投區,長安里,5634,337,464,801
105,北投區,大同里,5450,354,416,770
105,北投區,溫泉里,6176,374,503,877
105,北投區,林泉里,2896,179,217,396
105,北投區,中心里,6001,362,448,810
105,北投區,中庸里,3988,277,323,600
105,北投區,開明里,6125,333,454,787
105,北投區,中和里,4588,267,342,609
105,北投區,智仁里,5665,357,422,779
105,北投區,秀山里,3061,199,211,410
105,北投區,文化里,3776,178,257,435
105,北投區,豐年里,4050,290,328,618
105,北投區,稻香里,5020,334,349,683
105,北投區,桃源里,5581,411,436,847
105,北投區,一德里,6680,423,533,956
105,北投區,關渡里,10303,676,774,1450
105,北投區,泉源里,2228,150,172,322
105,北投區,湖山里,1624,134,118,252
105,北投區,大屯里,1111,74,83,157
105,北投區,湖田里,928,95,71,166
,,,,,,0
,,,,,,0
