statistic_yyymm,site_id,village,people_total,people_total_m,people_total_f
統計年月,區域別,村里,人口數,人口數-男,人口數-女
10509,新莊區,中全里,3809,1906,1903
10509,新莊區,立泰里,5169,2493,2676
10509,新莊區,全泰里,5364,2652,2712
10509,新莊區,仁義里,3970,1990,1980
10509,新莊區,立基里,6590,3205,3385
10509,新莊區,昌明里,3794,1824,1970
10509,新莊區,昌平里,6036,2831,3205
10509,新莊區,文聖里,3727,1745,1982
10509,新莊區,萬安里,3936,1879,2057
10509,新莊區,龍安里,2503,1253,1250
10509,新莊區,福營里,2630,1338,1292
10509,新莊區,後德里,3145,1573,1572
10509,新莊區,建安里,6889,3346,3543
10509,新莊區,成德里,5341,2564,2777
10509,新莊區,福興里,6102,3089,3013
10509,新莊區,昌信里,3927,1851,2076
10509,新莊區,昌隆里,4657,2176,2481
10509,新莊區,中平里,9483,4396,5087
10509,新莊區,立廷里,11764,5579,6185
10509,新莊區,泰豐里,2610,1282,1328
10509,新莊區,富民里,3994,1965,2029
10509,新莊區,龍福里,2384,1126,1258
10509,新莊區,祥鳳里,2574,1278,1296
10509,新莊區,民全里,3953,1972,1981
10509,新莊區,民有里,4270,2047,2223
10509,新莊區,光正里,4923,2430,2493
10509,新莊區,光和里,2974,1439,1535
10509,新店區,國豐里,3491,1607,1884
10509,新店區,明德里,4172,1935,2237
10509,新店區,大豐里,3885,1835,2050
10509,新店區,大同里,4122,1980,2142
10509,新店區,江陵里,5622,2660,2962
10509,新店區,寶興里,5400,2574,2826
10509,新店區,寶安里,5619,2633,2986
10509,新店區,信義里,6351,3042,3309
10509,新店區,忠孝里,2876,1381,1495
10509,新店區,大鵬里,2733,1339,1394
10509,新店區,太平里,3276,1575,1701
10509,新店區,頂城里,1745,924,821
10509,新店區,下城里,3436,1762,1674
10509,新店區,柴埕里,9336,4524,4812
10509,新店區,永安里,5419,2639,2780
10509,新店區,公崙里,11607,5632,5975
10509,新店區,德安里,6554,3310,3244
10509,新店區,雙城里,6064,3068,2996
10509,新店區,日興里,6089,3064,3025
10509,新店區,玫瑰里,6242,2995,3247
10509,新店區,塗潭里,1051,556,495
10509,新店區,美潭里,5429,2652,2777
10509,新店區,員潭里,5033,2525,2508
10509,新店區,雙坑里,874,496,378
10509,新店區,粗坑里,3286,1568,1718
10509,新店區,屈尺里,2614,1369,1245
