site_id,village,people_total,people_total_m,people_total_f,,ratio
區域別,村里,人口數,人口數-男,人口數-女,,ratio
三重區,龍門里,"2,021.00",991,1030,246.00,0.248234106962664
三重區,秀江里,"1,496.00",750,746,164.00,0.218666666666667
三重區,奕壽里,"1,850.00",911,939,232.00,0.254665203073546
三重區,三安里,"2,793.00",1345,1448,358.00,0.266171003717472
三重區,福安里,"3,201.00",1581,1620,39.00,0.0246679316888046
三重區,信安里,"2,078.00",1018,1060,436.00,0.428290766208251
三重區,安慶里,"2,185.00",1073,1112,301.00,0.280521901211556
三重區,幸福里,"4,790.00",2355,2435,253.00,0.107430997876858
三重區,六合里,"3,940.00",1963,1977,623.00,0.317371370351503
三重區,六福里,"5,956.00",2930,3026,484.00,0.16518771331058
三重區,順德里,"2,350.00",1223,1127,792.00,0.647587898609976
三重區,承德里,"1,970.00",996,974,246.00,0.246987951807229
三重區,瑞德里,"2,553.00",1248,1305,238.00,0.190705128205128
三重區,崇德里,"4,229.00",2149,2080,259.00,0.120521172638436
三重區,厚德里,"3,875.00",1911,1964,440.00,0.230245944531659
三重區,維德里,"3,156.00",1528,1628,536.00,0.350785340314136
三重區,尚德里,"3,286.00",1590,1696,367.00,0.230817610062893
三重區,培德里,"3,982.00",1970,2012,392.00,0.198984771573604
三重區,永德里,"5,396.00",2658,2738,571.00,0.214823175319789
三重區,永盛里,"3,572.00",1736,1836,611.00,0.351958525345622
三重區,永福里,"5,895.00",2827,3068,403.00,0.142553944110364
三重區,永清里,"6,029.00",2908,3121,639.00,0.219738651994498
三重區,永安里,"4,459.00",2182,2277,688.00,0.315307057745188
三重區,永煇里,"2,675.00",1374,1301,499.00,0.363173216885007
三重區,溪美里,"8,322.00",4042,4280,323.00,0.0799109351806037
三重區,福隆里,"4,833.00",2326,2507,"1,096.00",0.471195184866724
三重區,五常里,"4,447.00",2201,2246,654.00,0.297137664697865
三重區,五福里,"4,041.00",1947,2094,508.00,0.260914227015922
三重區,仁忠里,"3,363.00",1664,1699,560.00,0.336538461538462
三重區,慈福里,"2,323.00",1173,1150,313.00,0.266837169650469
三重區,慈生里,"2,428.00",1191,1237,266.00,0.223341729638959
三重區,慈惠里,"2,268.00",1125,1143,265.00,0.235555555555556
三重區,慈愛里,"3,703.00",1825,1878,267.00,0.146301369863014
三重區,慈化里,"2,704.00",1316,1388,403.00,0.306231003039514
三重區,慈祐里,"5,008.00",2499,2509,321.00,0.128451380552221
三重區,五華里,"5,469.00",2627,2842,630.00,0.239817282070803
三重區,富貴里,"6,471.00",3084,3387,777.00,0.251945525291829
三重區,富華里,"3,393.00",1737,1656,"1,145.00",0.659182498560737
三重區,富福里,"2,160.00",1050,1110,443.00,0.421904761904762
三重區,碧華里,"7,427.00",3554,3873,233.00,0.0655599324704558
三重區,五谷里,"1,826.00",953,873,"1,391.00",1.45960125918153
三重區,博愛里,"4,771.00",2319,2452,252.00,0.108667529107374
三重區,福德里,"4,134.00",1946,2188,649.00,0.333504624871531
三重區,永吉里,"3,282.00",1587,1695,548.00,0.345305608065532
三重區,永發里,"6,180.00",3092,3088,375.00,0.121280724450194
三重區,永順里,"5,491.00",2650,2841,982.00,0.370566037735849
三重區,永豐里,"6,340.00",3102,3238,638.00,0.205673758865248
三重區,立德里,"3,612.00",1764,1848,673.00,0.381519274376417
三重區,福樂里,"3,984.00",1984,2000,467.00,0.235383064516129
三重區,仁華里,"4,470.00",2182,2288,445.00,0.203941338221815
三重區,五順里,"4,161.00",2085,2076,603.00,0.289208633093525
中和區,中原里,"5,538.00",2733,2805,448.00,0.163922429564581
中和區,平河里,"9,617.00",4644,4973,901.00,0.194013781223084
中和區,信和里,"4,535.00",2295,2240,"1,400.00",0.610021786492375
中和區,仁和里,"4,490.00",2239,2251,580.00,0.259044216167932
中和區,中正里,"4,308.00",2104,2204,633.00,0.300855513307985
中和區,建和里,"3,791.00",1871,1920,518.00,0.27685729556387
中和區,連和里,"2,488.00",1130,1358,601.00,0.531858407079646
中和區,連城里,"6,711.00",3215,3496,474.00,0.147433903576983
中和區,力行里,"6,420.00",3073,3347,"1,104.00",0.359258054018874
中和區,枋寮里,"3,832.00",1906,1926,37.00,0.0194123819517314
中和區,漳和里,"3,758.00",1829,1929,"1,116.00",0.610169491525424
中和區,廟美里,"4,604.00",2254,2350,645.00,0.286157941437445
中和區,福真里,"4,301.00",2113,2188,608.00,0.287742546142925
中和區,福善里,"4,335.00",2054,2281,707.00,0.344206426484908
中和區,福美里,"4,644.00",2286,2358,566.00,0.247594050743657
中和區,福祥里,"5,346.00",2624,2722,616.00,0.234756097560976
中和區,瓦󿾨里,"5,710.00",2774,2936,639.00,0.230353280461428
中和區,福和里,"3,828.00",1898,1930,700.00,0.368809272918862
中和區,佳和里,"4,950.00",2381,2569,868.00,0.364552708945821
中和區,安樂里,"3,689.00",1733,1956,592.00,0.341604154645124
中和區,安和里,"3,205.00",1525,1680,830.00,0.544262295081967
中和區,安平里,"6,032.00",2875,3157,831.00,0.28904347826087
中和區,中安里,"4,447.00",2084,2363,608.00,0.291746641074856
中和區,泰安里,"3,661.00",1735,1926,"1,415.00",0.815561959654179
中和區,新南里,"8,487.00",3963,4524,"1,082.00",0.273025485743124
中和區,南山里,"5,476.00",2675,2801,569.00,0.212710280373832
中和區,秀山里,"4,689.00",2254,2435,"1,617.00",0.717391304347826
中和區,秀成里,"3,640.00",1783,1857,"1,003.00",0.562535053280987
中和區,秀福里,"4,899.00",2366,2533,775.00,0.327557058326289
中和區,秀景里,"6,521.00",3214,3307,669.00,0.208151835718731
中和區,秀明里,"5,157.00",2394,2763,950.00,0.396825396825397
中和區,秀峰里,"4,184.00",1942,2242,"1,187.00",0.611225540679712
中和區,秀仁里,"3,360.00",1650,1710,961.00,0.582424242424242
中和區,頂南里,"3,180.00",1549,1631,683.00,0.440929632020659
中和區,華新里,"7,617.00",3677,3940,577.00,0.156921403317922
中和區,東南里,"4,409.00",2160,2249,532.00,0.246296296296296
中和區,華南里,"5,246.00",2583,2663,"1,099.00",0.425474254742547
中和區,忠孝里,"5,141.00",2557,2584,801.00,0.31325772389519
中和區,崇南里,"4,193.00",2027,2166,913.00,0.450419338924519
中和區,景南里,"3,340.00",1599,1741,63.00,0.0393996247654784
中和區,橫路里,366.00,193,173,759.00,3.93264248704663
中和區,內南里,"5,355.00",2721,2634,778.00,0.285924292539508
中和區,壽南里,"2,501.00",1269,1232,497.00,0.391646966115051
中和區,外南里,"7,452.00",4169,3283,25.00,0.00599664188054689
中和區,復興里,"5,434.00",2571,2863,788.00,0.306495527032283
中和區,和興里,"4,594.00",2205,2389,375.00,0.170068027210884
中和區,景平里,"5,651.00",2676,2975,830.00,0.3101644245142
中和區,景新里,"3,731.00",1786,1945,796.00,0.44568868980963
中和區,景福里,"5,664.00",2668,2996,733.00,0.274737631184408
中和區,景安里,"4,907.00",2408,2499,"1,036.00",0.430232558139535
中和區,景文里,"3,340.00",1639,1701,551.00,0.336180597925564
中和區,錦和里,"5,877.00",2874,3003,985.00,0.342727905358386
中和區,錦昌里,"2,413.00",1230,1183,894.00,0.726829268292683
中和區,灰󿾨里,843.00,443,400,601.00,1.35665914221219
中和區,積穗里,"8,481.00",4103,4378,883.00,0.215208384109188
中和區,民享里,"2,611.00",1281,1330,413.00,0.3224043715847
中和區,員山里,"6,836.00",3335,3501,86.00,0.0257871064467766
中和區,嘉穗里,"2,802.00",1400,1402,"1,344.00",0.96
中和區,文元里,"5,533.00",2696,2837,391.00,0.145029673590504
中和區,嘉新里,"4,198.00",2086,2112,976.00,0.467881112176414
中和區,民安里,"5,172.00",2576,2596,422.00,0.163819875776398
中和區,安穗里,"4,796.00",2334,2462,753.00,0.322622107969152
中和區,瑞穗里,"2,534.00",1180,1354,532.00,0.450847457627119
中和區,明穗里,"4,777.00",2387,2390,698.00,0.292417260159196
中和區,清穗里,"3,413.00",1737,1676,665.00,0.382843983880253
中和區,自強里,"5,302.00",2620,2682,360.00,0.137404580152672
中和區,德穗里,"4,692.00",2299,2393,850.00,0.369725967812092
中和區,民生里,"4,372.00",2098,2274,463.00,0.220686367969495
中和區,國光里,"4,098.00",2000,2098,748.00,0.374
中和區,壽德里,"4,848.00",2330,2518,776.00,0.333047210300429
中和區,明德里,"4,111.00",2023,2088,683.00,0.337617399901137
中和區,秀水里,"3,882.00",1877,2005,659.00,0.351092168353756
中和區,德行里,"6,941.00",3373,3568,743.00,0.220278683664394
中和區,宜安里,"1,889.00",925,964,499.00,0.53945945945946
中和區,安順里,"4,517.00",2119,2398,557.00,0.262859839546956
中和區,秀義里,"2,747.00",1380,1367,"1,367.00",0.990579710144928
中和區,秀士里,"2,570.00",1255,1315,357.00,0.284462151394422
中和區,興南里,"3,318.00",1613,1705,828.00,0.513329200247985
中和區,景本里,"2,248.00",1082,1166,481.00,0.444547134935305
中和區,福南里,"4,540.00",2156,2384,435.00,0.201762523191095
中和區,中興里,"7,132.00",3435,3697,471.00,0.137117903930131
中和區,吉興里,"3,146.00",1442,1704,346.00,0.23994452149792
中和區,中山里,"3,020.00",1481,1539,670.00,0.452397029034436
中和區,碧河里,"4,341.00",2137,2204,"1,357.00",0.635002339728591
中和區,錦中里,"4,414.00",2156,2258,541.00,0.250927643784787
中和區,錦盛里,"4,120.00",2008,2112,444.00,0.221115537848606
中和區,民有里,"2,910.00",1446,1464,674.00,0.466113416320885
中和區,員富里,"3,542.00",1783,1759,615.00,0.344924284913068
中和區,嘉慶里,"4,585.00",2286,2299,537.00,0.23490813648294
中和區,冠穗里,"3,524.00",1784,1740,411.00,0.230381165919283
中和區,國華里,"3,482.00",1737,1745,463.00,0.266551525618883
中和區,正南里,"3,730.00",1871,1859,568.00,0.303580972741849
中和區,正行里,"3,139.00",1499,1640,641.00,0.42761841227485
永和區,福林里,"3,582.00",1741,1841,481.00,0.276278001148765
永和區,文化里,"2,895.00",1381,1514,544.00,0.393917451122375
永和區,豫溪里,"4,988.00",2556,2432,537.00,0.210093896713615
永和區,光明里,"3,159.00",1428,1731,714.00,0.5
永和區,仁愛里,"2,782.00",1323,1459,526.00,0.397581254724112
永和區,永貞里,"3,659.00",1718,1941,875.00,0.509313154831199
永和區,永福里,"2,903.00",1411,1492,646.00,0.457831325301205
永和區,民治里,"3,072.00",1395,1677,519.00,0.372043010752688
永和區,永成里,"1,052.00",516,536,714.00,1.38372093023256
永和區,忠義里,859.00,446,413,625.00,1.40134529147982
永和區,永元里,"5,057.00",2338,2719,487.00,0.208297690333618
永和區,秀林里,"3,911.00",1905,2006,114.00,0.0598425196850394
永和區,保安里,"7,675.00",3660,4015,107.00,0.0292349726775956
永和區,中溪里,"5,332.00",2646,2686,869.00,0.328420256991686
永和區,永安里,"4,382.00",2027,2355,734.00,0.362111494819931
永和區,民族里,"4,917.00",2323,2594,"1,566.00",0.674128282393457
永和區,民權里,"4,850.00",2354,2496,978.00,0.415463041631266
永和區,中興里,"2,982.00",1370,1612,957.00,0.698540145985402
永和區,勵行里,"1,313.00",622,691,901.00,1.44855305466238
永和區,秀朗里,"4,217.00",2053,2164,914.00,0.445202143205066
永和區,秀成里,"3,083.00",1523,1560,561.00,0.368351936966513
永和區,上溪里,"2,077.00",958,1119,213.00,0.222338204592902
永和區,竹林里,"3,831.00",1840,1991,672.00,0.365217391304348
永和區,雙和里,"4,130.00",1897,2233,558.00,0.294148655772272
永和區,安和里,"4,128.00",1919,2209,368.00,0.19176654507556
永和區,水源里,"4,305.00",2059,2246,719.00,0.349198640116561
永和區,協和里,"3,062.00",1485,1577,775.00,0.521885521885522
永和區,河堤里,"3,402.00",1626,1776,849.00,0.522140221402214
永和區,頂溪里,"2,570.00",1228,1342,823.00,0.670195439739414
永和區,潭墘里,"4,875.00",2216,2659,542.00,0.244584837545126
永和區,潭安里,"5,105.00",2481,2624,729.00,0.293833131801693
永和區,大新里,"2,738.00",1234,1504,515.00,0.417341977309562
永和區,保平里,"5,134.00",2421,2713,975.00,0.40272614622057
永和區,民本里,"4,270.00",2022,2248,"1,027.00",0.507912957467854
永和區,民樂里,"5,026.00",2455,2571,561.00,0.228513238289206
永和區,光復里,"1,775.00",810,965,921.00,1.13703703703704
永和區,復興里,"2,482.00",1186,1296,776.00,0.654300168634064
永和區,福和里,"5,416.00",2544,2872,"1,065.00",0.418632075471698
永和區,得和里,"4,535.00",2126,2409,340.00,0.159924741298213
永和區,智光里,"3,585.00",1742,1843,534.00,0.30654420206659
永和區,新生里,890.00,455,435,"1,224.00",2.69010989010989
永和區,大同里,"1,002.00",514,488,974.00,1.89494163424125
永和區,前溪里,"2,211.00",1021,1190,531.00,0.520078354554359
永和區,和平里,"5,136.00",2456,2680,100.00,0.0407166123778502
永和區,新廍里,"2,323.00",1152,1171,97.00,0.0842013888888889
永和區,下溪里,"4,215.00",2054,2161,429.00,0.208860759493671
永和區,秀和里,"5,240.00",2513,2727,964.00,0.383605252686033
永和區,河濱里,"3,410.00",1658,1752,459.00,0.276839565741858
永和區,民生里,"4,291.00",2001,2290,721.00,0.36031984007996
永和區,秀得里,"2,873.00",1370,1503,"1,075.00",0.784671532846715
永和區,上林里,"3,714.00",1772,1942,642.00,0.362302483069977
永和區,網溪里,"1,259.00",623,636,695.00,1.11556982343499
永和區,正興里,"2,355.00",1070,1285,491.00,0.458878504672897
永和區,永興里,"3,395.00",1605,1790,740.00,0.461059190031153
永和區,桂林里,"3,907.00",1859,2048,217.00,0.116729424421732
永和區,店街里,"4,353.00",1953,2400,455.00,0.232974910394265
永和區,信義里,"2,702.00",1229,1473,675.00,0.549227013832384
永和區,後溪里,"1,904.00",910,994,722.00,0.793406593406593
永和區,民富里,"3,279.00",1601,1678,859.00,0.536539662710806
永和區,秀元里,"3,285.00",1579,1706,557.00,0.352754908169728
永和區,永樂里,"2,582.00",1178,1404,375.00,0.318336162988115
永和區,保順里,"10,827.00",5090,5737,493.00,0.0968565815324165
新莊區,海山里,"5,694.00",2769,2925,634.00,0.228963524738173
新莊區,頭前里,"7,653.00",3751,3902,452.00,0.120501199680085
新莊區,國泰里,"1,645.00",840,805,"2,114.00",2.51666666666667
新莊區,全安里,"4,743.00",2286,2457,786.00,0.343832020997375
新莊區,福基里,"4,416.00",2195,2221,"1,364.00",0.621412300683371
新莊區,豐年里,"3,940.00",1924,2016,198.00,0.102910602910603
