高級中等學校校別概況,,,,,,,,,,,,,,,,,
105 學年度  SY 2016-2017,,,,,,,,,,,,,,,,,
單位：人；班,,,,,,,,,,,,,,,,,
,,專任教師數,,,兼任教師數,,,職員數,,,班級數,學生數,,,上學年畢業生數,,
,,總計,男,女,總計,男,女,總計,男,女,,總計,男,女,總計,男,女
190303,國立臺中二中,157,75,82, -, -, -,31,11,20,69,"2,582","1,687",895,898,573,325
190315,國立文華高中,139,50,89, -, -, -,29,7,22,60,"2,258",791,"1,467",797,257,540
191301,私立東大附中,75,25,50,6,2,4,9,4,5,18,807,384,423,268,112,156
191302,私立葳格高中,122,55,67,16,7,9,40,8,32,40,"1,736",844,892,688,357,331
191305,私立新民高中,241,107,134,115,36,79,43,17,26,131,"5,922","2,734","3,188","1,701",757,944
191308,私立宜寧高中,112,38,74,20,12,8,21,5,16,56,"2,537","1,364","1,173",788,402,386
191309,私立明德高中,166,40,126,37,21,16,25,8,17,87,"3,929","1,168","2,761","1,142",88,"1,054"
191311,私立衛道高中,149,80,69,5,1,4,31,10,21,24,"1,080",762,318,376,253,123
191313,私立曉明女中,101,29,72,18,6,12,18,2,16,18,828, -,828,286, -,286
191314,私立嶺東高中,152,69,83,40,23,17,31,10,21,82,"3,803","2,077","1,726","1,252",726,526
193303,市立忠明高中,122,37,85, -, -, -,16,3,13,27,"1,081",442,639,358,146,212
193313,市立西苑高中,190,62,128, -, -, -,19,1,18,27,"1,083",548,535,380,174,206
193315,市立東山高中,214,73,141, -, -, -,16,5,11,30,"1,177",564,613,402,174,228
193316,市立惠文高中,160,61,99, -, -, -,17,5,12,32,"1,228",583,645,405,161,244
200302,國立嘉義女中,107,42,65,26,6,20,22,6,16,48,"1,762", -,"1,762",630, -,630
200303,國立嘉義高中,149,76,73,54,17,37,28,7,21,67,"2,331","2,172",159,807,765,42
201304,私立興華高中,125,52,73, -, -, -,22,5,17,45,"2,040","1,062",978,699,369,330
201309,私立仁義高中,10,5,5,11,7,4,2,1,1,12,409,241,168,156,102,54
201310,私立嘉華高中,57,35,22,7,5,2,11,7,4,18,737,471,266,185,110,75
201312,私立輔仁高中,78,45,33, -, -, -,19,5,14,20,880,523,357,203,126,77
201313,私立宏仁女中,35,11,24, -, -, -,11,3,8,9,382, -,382,148, -,148
201314,私立立仁高中,18,8,10, -, -, -,12,3,9,8,346,162,184,143,49,94
210303,國立臺南二中,132,57,75, -, -, -,22,3,19,57,"2,175","1,664",511,731,712,19
210305,國立臺南一中,153,92,61,15,10,5,26,6,20,64,"2,307","2,239",68,834,803,31
210306,國立臺南女中,131,42,89,77,16,61,23,6,17,57,"2,184",10,"2,174",765,4,761
210309,國立家齊高中,123,37,86,13,7,6,23,6,17,54,"1,921",156,"1,765",655, -,655
211301,私立長榮高中,232,111,121,38,16,22,60,37,23,111,"4,892","2,803","2,089","1,294",749,545
211302,私立長榮女中,46,9,37,50,12,38,27,8,19,36,"1,497",132,"1,365",400, -,400
211304,財團法人聖功女中,101,32,69,2, -,2,30,2,28,21,974, -,974,296, -,296
211310,臺南市光華高中,78,17,61, -, -, -,16,2,14,39,"1,721",461,"1,260",468,43,425
211314,私立六信高中,31,15,16,41,21,20,7,3,4,30,839,467,372,271,158,113
211315,私立瀛海高中,81,40,41, -, -, -,14,3,11,23,"1,082",692,390,266,166,100
211317,私立崑山高中,48,23,25,69,44,25,20,2,18,35,833,519,314,748,471,277
211318,私立德光高中,115,37,78,3, -,3,30,3,27,27,"1,210",535,675,507,139,368
211320,財團法人慈濟高中,95,34,61,7,3,4,22,6,16,16,523,266,257,151,78,73
213303,市立南寧高中,75,30,45, -, -, -,9,2,7,12,406,195,211,149,79,70
213316,市立土城高中,54,17,37,19,6,13,12,2,10,9,281,116,165,90,37,53
313301,市立西松高中,132,49,83, -, -, -,23,9,14,33,"1,048",624,424,400,176,224
313302,市立中崙高中,144,39,105,6,2,4,25,5,20,30,"1,096",579,517,384,167,217
321399,臺北市私立協和祐德高級中學,103,55,48,54,30,24,35,13,22,61,"1,894","1,452",442,793,592,201
323301,市立松山高中,160,65,95,14,5,9,27,7,20,63,"2,306","1,176","1,130",814,411,403
323302,市立永春高中,125,46,79,9,1,8,22,2,20,48,"1,641",796,845,573,245,328
330301,國立師大附中,227,86,141,122,45,77,49,10,39,80,"3,085","2,036","1,049","1,013",679,334
331301,私立延平中學,126,59,67, -, -, -,22,8,14,30,"1,476",897,579,473,303,170
331302,私立金甌女中,120,34,86,24,14,10,14,6,8,47,"1,780", -,"1,780",756, -,756
