End of Year",性別,,總計,0 歲,1 歲,2 歲,3 歲,4 歲,5 歲,6 歲,7 歲,8 歲,9 歲,10 歲,11 歲,12 歲,13 歲,14 歲,15 歲,16 歲,17 歲,18 歲,19 歲,20 歲,21 歲,22 歲,23 歲,24 歲,25 歲,26 歲,27 歲,28 歲,29 歲,30 歲,31 歲,32 歲,33 歲,34 歲,35 歲,36 歲,37 歲,38 歲,39 歲,40 歲,41 歲,42 歲,43 歲,44 歲,45 歲,46 歲,47 歲,48 歲,49 歲,50 歲,51 歲,52 歲,53 歲,54 歲,55 歲,56 歲,57 歲,58 歲,59 歲,60 歲,61 歲,62 歲,63 歲,64 歲,65 歲,66 歲,67 歲,68 歲,69 歲,70 歲,71 歲,72 歲,73 歲,74 歲,75 歲,76 歲,77 歲,78 歲,79 歲,80 歲,81 歲,82 歲,83 歲,84 歲,85 歲,86 歲,87 歲,88 歲,89 歲,90 歲,91 歲,92 歲,93 歲,94 歲,95 歲,96 歲,97 歲,98 歲,99 歲,100 歲以上,,,,,,,,,,,,,,,,,,,
,Sex,,Grand Total,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years & Over,,,,,,,,,,,,,,,,,,,
"九十一年
 2002",計,T.,"22,520,776","236,687","257,075","306,554","282,920","267,593","323,703","323,047","324,916","322,882","326,830","320,724","318,901","335,246","310,702","341,112","308,852","300,090","336,699","362,210","373,275","393,202","404,050","399,546","409,535","398,538","379,995","413,899","357,477","352,411","352,389","352,786","364,547","375,372","377,459","377,189","360,245","387,134","382,389","389,218","394,772","389,357","384,124","380,486","377,088","364,997","346,753","358,493","350,076","331,600","319,232","312,537","316,794","267,124","248,665","218,610","192,310","156,533","140,756","164,502","167,845","164,460","166,107","165,265","156,887","146,704","144,425","135,494","133,729","128,921","122,933","122,269","123,987","122,235","115,516","109,668","101,249","95,187","85,591","73,221","63,936","60,142","54,511","43,593","35,845","30,272","26,351","20,739","17,573","15,251","12,522","10,813","6,945","5,139","3,834","2,605","2,028","1,410",981,643,444,"1,298",,,,,,,,,,,,,,,,,,,
,男,M.,"11,485,409","123,895","133,793","160,044","147,760","139,315","168,705","168,178","168,571","168,111","169,618","167,753","167,118","175,575","161,635","177,121","160,264","154,846","173,193","186,598","191,729","201,707","207,149","203,969","209,519","203,821","193,263","210,893","181,477","178,923","179,235","178,191","184,688","190,342","191,394","191,782","183,396","196,351","193,849","197,769","200,104","197,558","194,757","193,046","190,456","184,262","174,501","180,709","176,770","166,718","160,294","157,151","158,476","134,078","124,586","109,462","95,849","77,883","69,636","81,506","82,912","80,604","81,434","80,123","75,269","70,571","69,153","65,084","64,169","62,560","61,173","62,750","65,675","67,093","63,787","61,144","56,549","52,780","47,873","39,454","33,738","31,354","28,068","22,090","17,986","14,648","12,458","9,793","8,026","6,926","5,640","5,093","2,725","2,025","1,517","1,004",822,552,384,261,194,606,,,,,,,,,,,,,,,,,,,
,女,F.,"11,035,367","112,792","123,282","146,510","135,160","128,278","154,998","154,869","156,345","154,771","157,212","152,971","151,783","159,671","149,067","163,991","148,588","145,244","163,506","175,612","181,546","191,495","196,901","195,577","200,016","194,717","186,732","203,006","176,000","173,488","173,154","174,595","179,859","185,030","186,065","185,407","176,849","190,783","188,540","191,449","194,668","191,799","189,367","187,440","186,632","180,735","172,252","177,784","173,306","164,882","158,938","155,386","158,318","133,046","124,079","109,148","96,461","78,650","71,120","82,996","84,933","83,856","84,673","85,142","81,618","76,133","75,272","70,410","69,560","66,361","61,760","59,519","58,312","55,142","51,729","48,524","44,700","42,407","37,718","33,767","30,198","28,788","26,443","21,503","17,859","15,624","13,893","10,946","9,547","8,325","6,882","5,720","4,220","3,114","2,317","1,601","1,206",858,597,382,250,692,,,,,,,,,,,,,,,,,,,
"九十二年
 2003",計,T.,"22,604,550","217,456","246,241","257,200","306,226","282,780","267,540","323,603","322,764","324,567","322,572","326,542","320,436","318,595","334,833","310,265","340,645","308,322","299,363","336,069","361,649","372,340","392,617","403,660","399,289","409,325","398,308","379,814","413,618","357,363","352,328","352,316","352,650","364,235","374,922","376,906","376,544","359,473","386,265","381,427","388,136","393,608","388,137","382,830","379,035","375,653","363,603","345,368","356,998","348,548","330,010","317,697","310,984","315,047","265,630","247,077","217,212","190,925","155,313","139,559","163,054","166,227","162,779","164,298","163,140","154,880","144,607","142,090","133,034","131,236","126,222","120,174","119,174","120,486","118,516","111,624","105,524","96,995","90,915","81,306","69,112","60,030","56,211","50,455","39,986","32,598","27,238","23,466","18,302","15,257","13,077","10,610","9,107","5,715","4,209","3,083","2,013","1,592","1,084",756,509,"1,421",,,,,,,,,,,,,,,,,,,
,男,M.,"11,515,062","114,018","128,787","133,846","159,858","147,665","139,261","168,629","168,053","168,367","167,937","169,496","167,595","166,937","175,332","161,384","176,869","159,927","154,345","172,794","186,225","191,096","201,360","206,909","203,749","209,324","203,601","193,055","210,607","181,210","178,615","178,947","177,874","184,278","189,873","190,916","191,266","182,843","195,757","193,211","197,046","199,361","196,748","193,939","192,082","189,508","183,288","173,566","179,718","175,759","165,567","159,243","156,020","157,269","133,033","123,472","108,470","94,906","77,030","68,868","80,556","81,869","79,506","80,232","78,781","74,041","69,239","67,738","63,567","62,657","60,941","59,507","60,892","63,481","64,650","61,303","58,527","53,817","50,095","45,083","36,902","31,413","29,047","25,703","20,039","16,179","13,038","10,899","8,545","6,913","5,928","4,753","4,317","2,240","1,650","1,202",787,670,436,304,224,682,,,,,,,,,,,,,,,,,,,
,女,F.,"11,089,488","103,438","117,454","123,354","146,368","135,115","128,279","154,974","154,711","156,200","154,635","157,046","152,841","151,658","159,501","148,881","163,776","148,395","145,018","163,275","175,424","181,244","191,257","196,751","195,540","200,001","194,707","186,759","203,011","176,153","173,713","173,369","174,776","179,957","185,049","185,990","185,278","176,630","190,508","188,216","191,090","194,247","191,389","188,891","186,953","186,145","180,315","171,802","177,280","172,789","164,443","158,454","154,964","157,778","132,597","123,605","108,742","96,019","78,283","70,691","82,498","84,358","83,273","84,066","84,359","80,839","75,368","74,352","69,467","68,579","65,281","60,667","58,282","57,005","53,866","50,321","46,997","43,178","40,820","36,223","32,210","28,617","27,164","24,752","19,947","16,419","14,200","12,567","9,757","8,344","7,149","5,857","4,790","3,475","2,559","1,881","1,226",922,648,452,285,739,,,,,,,,,,,,,,,,,,,
"九十三年
 2004",計,T.,"22,689,122","206,936","227,349","246,452","257,004","306,198","282,928","267,593","323,482","322,590","324,422","322,478","326,462","320,263","318,386","334,539","309,952","340,221","307,792","299,004","335,696","361,030","371,986","392,414","403,509","399,150","409,171","398,245","379,819","413,723","357,643","352,624","352,512","352,799","364,199","374,803","376,620","376,129","358,917","385,482","380,574","387,240","392,622","386,983","381,732","377,859","374,425","362,354","344,145","355,667","347,123","328,715","316,303","309,587","313,515","264,287","245,661","216,007","189,680","154,177","138,408","161,686","164,676","161,099","162,472","161,128","152,885","142,501","139,782","130,566","128,658","123,392","117,291","115,958","116,857","114,650","107,552","101,205","92,648","86,461","76,951","65,009","56,048","52,060","46,382","36,349","29,405","24,428","20,743","15,934","13,201","11,097","8,808","7,512","4,625","3,301","2,400","1,579","1,249",828,587,"1,573",,,,,,,,,,,,,,,,,,,
,男,M.,"11,541,585","108,663","119,073","128,900","133,755","159,825","147,733","139,313","168,541","167,950","168,298","167,876","169,424","167,486","166,836","175,158","161,199","176,554","159,565","154,075","172,488","185,726","190,879","201,223","206,790","203,577","209,090","203,415","192,873","210,383","180,988","178,370","178,610","177,535","183,899","189,448","190,460","190,780","182,344","195,123","192,547","196,355","198,618","195,914","193,108","191,200","188,599","182,333","172,616","178,717","174,606","164,518","158,218","154,957","156,147","131,956","122,388","107,544","93,974","76,177","68,050","79,583","80,809","78,354","79,045","77,531","72,764","67,933","66,303","62,032","61,059","59,237","57,691","58,862","61,194","62,160","58,661","55,698","50,943","47,241","42,264","34,429","29,087","26,632","23,412","17,994","14,440","11,588","9,531","7,367","5,924","5,013","3,883","3,580","1,800","1,275",947,625,544,345,252,786,,,,,,,,,,,,,,,,,,,
,女,F.,"11,147,537","98,273","108,276","117,552","123,249","146,373","135,195","128,280","154,941","154,640","156,124","154,602","157,038","152,777","151,550","159,381","148,753","163,667","148,227","144,929","163,208","175,304","181,107","191,191","196,719","195,573","200,081","194,830","186,946","203,340","176,655","174,254","173,902","175,264","180,300","185,355","186,160","185,349","176,573","190,359","188,027","190,885","194,004","191,069","188,624","186,659","185,826","180,021","171,529","176,950","172,517","164,197","158,085","154,630","157,368","132,331","123,273","108,463","95,706","78,000","70,358","82,103","83,867","82,745","83,427","83,597","80,121","74,568","73,479","68,534","67,599","64,155","59,600","57,096","55,663","52,490","48,891","45,507","41,705","39,220","34,687","30,580","26,961","25,428","22,970","18,355","14,965","12,840","11,212","8,567","7,277","6,084","4,925","3,932","2,825","2,026","1,453",954,705,483,335,787,,,,,,,,,,,,,,,,,,,
九十四年  2005,計,T.,"22,770,383","195,331","218,272","227,492","246,219","257,041","306,403","283,032","267,532","323,448","322,521","324,467","322,489","326,445","320,123","318,234","334,391","309,683","339,805","307,544","298,831","335,229","360,810","371,977","392,571","403,933","399,590","409,505","398,765","380,343","414,298","358,194","353,098","352,895","353,106","364,252","374,723","376,471","375,743","358,469","384,820","379,897","386,503","391,858","386,042","380,756","376,766","373,321","361,234","342,989","354,430","345,862","327,438","314,919","308,180","311,992","262,878","244,190","214,604","188,313","152,996","137,250","160,194","162,970","159,412","160,490","159,026","150,748","140,187","137,272","128,029","125,839","120,437","114,222","112,630","113,232","110,582","103,206","96,771","88,218","81,792","72,401","60,724","52,050","47,922","42,351","32,718","26,344","21,615","18,132","13,742","11,276","9,284","7,288","6,137","3,650","2,605","1,840","1,214",946,631,"1,743",,,,,,,,,,,,,,,,,,,
,男,M.,"11,562,440","101,864","114,536","119,127","128,776","133,783","159,928","147,798","139,257","168,509","167,887","168,295","167,871","169,375","167,400","166,751","175,061","161,012","176,267","159,372","153,878","172,045","185,515","190,759","201,122","206,746","203,407","208,896","203,233","192,687","210,176","180,748","178,097","178,358","177,247","183,516","189,038","190,061","190,271","181,844","194,456","191,900","195,692","197,890","195,094","192,278","190,257","187,711","181,370","171,663","177,704","173,621","163,495","157,137","153,822","155,003","130,898","121,288","106,535","93,014","75,353","67,193","78,511","79,646","77,224","77,750","76,146","71,440","66,478","64,734","60,464","59,338","57,469","55,795","56,825","58,889","59,543","55,823","52,880","48,118","44,237","39,376","31,872","26,679","24,232","21,115","16,012","12,775","10,102","8,216","6,276","5,027","4,160","3,206","2,938","1,429","1,024",741,482,431,266,884,,,,,,,,,,,,,,,,,,,
,女,F.,"11,207,943","93,467","103,736","108,365","117,443","123,258","146,475","135,234","128,275","154,939","154,634","156,172","154,618","157,070","152,723","151,483","159,330","148,671","163,538","148,172","144,953","163,184","175,295","181,218","191,449","197,187","196,183","200,609","195,532","187,656","204,122","177,446","175,001","174,537","175,859","180,736","185,685","186,410","185,472","176,625","190,364","187,997","190,811","193,968","190,948","188,478","186,509","185,610","179,864","171,326","176,726","172,241","163,943","157,782","154,358","156,989","131,980","122,902","108,069","95,299","77,643","70,057","81,683","83,324","82,188","82,740","82,880","79,308","73,709","72,538","67,565","66,501","62,968","58,427","55,805","54,343","51,039","47,383","43,891","40,100","37,555","33,025","28,852","25,371","23,690","21,236","16,706","13,569","11,513","9,916","7,466","6,249","5,124","4,082","3,199","2,221","1,581","1,099",732,515,365,859,,,,,,,,,,,,,,,,,,,
九十五年  2006,計,T.,"22,876,527","192,887","207,968","218,499","227,319","246,269","257,231","306,404","282,866","267,352","323,307","322,466","324,429","322,381","326,249","320,004","318,074","334,118","309,358","339,694","307,424","298,522","335,190","360,997","372,295","393,483","405,267","401,132","410,795","399,969","381,634","415,501","359,180","353,982","353,569","353,756","364,694","374,998","376,520","375,788","358,260","384,547","379,751","386,168","391,580","385,501","380,296","376,304","372,799","360,609","342,440","353,735","345,068","326,576","314,008","307,159","310,970","261,962","243,061","213,594","187,284","151,881","136,202","158,845","161,512","157,815","158,695","157,046","148,704","137,943","134,805","125,611","123,133","117,544","111,055","109,329","109,480","106,600","99,128","92,469","83,823","77,361","68,133","56,554","48,271","44,044","38,704","29,596","23,645","19,108","15,783","11,873","9,614","7,817","6,027","5,053","2,916","2,039","1,449",981,752,"1,944",,,,,,,,,,,,,,,,,,,
,男,M.,"11,591,707","100,859","108,383","114,629","119,049","128,779","133,850","159,927","147,729","139,129","168,428","167,845","168,236","167,793","169,267","167,277","166,631","174,867","160,725","176,132","159,204","153,564","171,978","185,556","190,769","201,104","206,694","203,352","208,821","203,065","192,570","210,051","180,586","177,906","178,114","176,974","183,274","188,742","189,658","189,881","181,353","193,922","191,487","195,192","197,337","194,360","191,651","189,602","187,022","180,663","170,972","176,860","172,764","162,543","156,209","152,875","154,031","130,069","120,295","105,679","92,206","74,544","66,422","77,558","78,661","76,122","76,514","74,852","70,155","65,110","63,178","58,997","57,688","55,710","53,876","54,781","56,521","56,980","53,203","50,100","45,333","41,443","36,653","29,366","24,419","22,034","19,066","14,295","11,362","8,809","7,053","5,359","4,219","3,477","2,604","2,455","1,154",805,595,390,349,"1,005",,,,,,,,,,,,,,,,,,,
,女,F.,"11,284,820","92,028","99,585","103,870","108,270","117,490","123,381","146,477","135,137","128,223","154,879","154,621","156,193","154,588","156,982","152,727","151,443","159,251","148,633","163,562","148,220","144,958","163,212","175,441","181,526","192,379","198,573","197,780","201,974","196,904","189,064","205,450","178,594","176,076","175,455","176,782","181,420","186,256","186,862","185,907","176,907","190,625","188,264","190,976","194,243","191,141","188,645","186,702","185,777","179,946","171,468","176,875","172,304","164,033","157,799","154,284","156,939","131,893","122,766","107,915","95,078","77,337","69,780","81,287","82,851","81,693","82,181","82,194","78,549","72,833","71,627","66,614","65,445","61,834","57,179","54,548","52,959","49,620","45,925","42,369","38,490","35,918","31,480","27,188","23,852","22,010","19,638","15,301","12,283","10,299","8,730","6,514","5,395","4,340","3,423","2,598","1,762","1,234",854,591,403,939,,,,,,,,,,,,,,,,,,,
九十六年  2007,計,T.,"22,958,360","192,021","206,531","208,288","218,369","227,376","246,419","257,225","306,146","282,708","267,282","323,258","322,438","324,369","322,185","326,030","319,816","317,885","333,777","309,298","339,550","307,098","298,449","335,213","361,450","373,386","394,949","406,684","402,381","411,921","401,081","382,454","416,193","359,732","354,427","353,963","353,895","364,713","375,039","376,273","375,484","357,898","383,987","379,076","385,375","390,677","384,563","379,176","375,114","371,498","359,334","341,240","352,352","343,643","325,207","312,549","305,713","309,295","260,530","241,512","212,110","185,987","150,716","134,958","157,283","159,719","155,980","156,631","154,737","146,220","135,295","132,081","122,783","120,070","114,313","107,758","105,692","105,449","102,233","94,550","87,641","79,031","72,386","63,257","52,184","44,093","39,828","34,618","25,998","20,553","16,366","13,361","9,764","7,765","6,206","4,711","3,864","2,260","1,611","1,100",741,"1,962",,,,,,,,,,,,,,,,,,,
,男,M.,"11,608,767","100,434","107,929","108,536","114,591","119,071","128,834","133,827","159,816","147,641","139,102","168,407","167,813","168,190","167,663","169,131","167,147","166,470","174,593","160,610","175,931","158,856","153,482","171,985","185,596","190,720","200,965","206,527","203,150","208,557","202,809","192,285","209,736","180,304","177,616","177,821","176,623","182,888","188,382","189,192","189,477","180,899","193,336","190,842","194,468","196,512","193,536","190,718","188,677","185,951","179,650","170,025","175,713","171,601","161,424","155,069","151,706","152,768","128,942","119,119","104,574","91,238","73,703","65,559","76,521","77,445","74,928","75,216","73,395","68,608","63,454","61,537","57,281","55,837","53,797","51,837","52,585","53,976","54,208","50,292","46,987","42,327","38,344","33,616","26,773","21,985","19,630","16,793","12,319","9,710","7,417","5,818","4,280","3,330","2,676","1,983","1,801",891,650,477,301,"1,005",,,,,,,,,,,,,,,,,,,
,女,F.,"11,349,593","91,587","98,602","99,752","103,778","108,305","117,585","123,398","146,330","135,067","128,180","154,851","154,625","156,179","154,522","156,899","152,669","151,415","159,184","148,688","163,619","148,242","144,967","163,228","175,854","182,666","193,984","200,157","199,231","203,364","198,272","190,169","206,457","179,428","176,811","176,142","177,272","181,825","186,657","187,081","186,007","176,999","190,651","188,234","190,907","194,165","191,027","188,458","186,437","185,547","179,684","171,215","176,639","172,042","163,783","157,480","154,007","156,527","131,588","122,393","107,536","94,749","77,013","69,399","80,762","82,274","81,052","81,415","81,342","77,612","71,841","70,544","65,502","64,233","60,516","55,921","53,107","51,473","48,025","44,258","40,654","36,704","34,042","29,641","25,411","22,108","20,198","17,825","13,679","10,843","8,949","7,543","5,484","4,435","3,530","2,728","2,063","1,369",961,623,440,957,,,,,,,,,,,,,,,,,,,
九十七年  2008,計,T.,"23,037,031","187,568","205,446","206,660","208,111","218,421","227,647","246,490","257,027","306,031","282,675","267,307","323,267","322,385","324,152","322,016","325,944","319,589","317,568","333,706","309,145","339,140","307,003","298,488","335,503","362,171","374,482","396,082","407,741","403,375","412,887","401,973","383,093","416,691","360,162","354,751","354,182","353,938","364,764","374,744","375,959","375,084","357,319","383,251","378,315","384,545","389,703","383,570","378,092","374,073","370,408","358,261","340,161","351,068","342,478","323,929","311,263","304,315","307,741","259,009","239,898","210,580","184,608","149,473","133,681","155,702","157,949","154,097","154,429","152,322","143,722","132,788","129,175","119,846","116,860","110,872","104,273","101,866","101,247","97,673","89,837","82,853","74,191","67,592","58,557","47,903","40,137","35,798","30,820","22,846","17,808","14,029","11,277","8,030","6,301","4,968","3,667","3,000","1,658","1,150",806,"1,873",,,,,,,,,,,,,,,,,,,
,男,M.,"11,626,351","98,038","107,414","108,002","108,408","114,629","119,245","128,853","133,740","159,749","147,639","139,128","168,380","167,763","168,054","167,558","169,058","166,973","166,226","174,441","160,414","175,537","158,762","153,483","171,928","185,459","190,637","200,824","206,404","202,988","208,407","202,619","192,043","209,434","179,979","177,312","177,544","176,255","182,603","187,940","188,753","188,986","180,368","192,657","190,139","193,707","195,604","192,695","189,798","187,772","184,954","178,719","169,051","174,609","170,574","160,351","154,007","150,538","151,549","127,750","117,924","103,457","90,242","72,827","64,687","75,416","76,272","73,693","73,787","71,898","67,054","61,888","59,786","55,542","53,926","51,763","49,731","50,248","51,402","51,371","47,391","43,987","39,326","35,434","30,829","24,303","19,795","17,402","14,766","10,698","8,260","6,281","4,851","3,498","2,668","2,131","1,533","1,427",651,476,348,931,,,,,,,,,,,,,,,,,,,
,女,F.,"11,410,680","89,530","98,032","98,658","99,703","103,792","108,402","117,637","123,287","146,282","135,036","128,179","154,887","154,622","156,098","154,458","156,886","152,616","151,342","159,265","148,731","163,603","148,241","145,005","163,575","176,712","183,845","195,258","201,337","200,387","204,480","199,354","191,050","207,257","180,183","177,439","176,638","177,683","182,161","186,804","187,206","186,098","176,951","190,594","188,176","190,838","194,099","190,875","188,294","186,301","185,454","179,542","171,110","176,459","171,904","163,578","157,256","153,777","156,192","131,259","121,974","107,123","94,366","76,646","68,994","80,286","81,677","80,404","80,642","80,424","76,668","70,900","69,389","64,304","62,934","59,109","54,542","51,618","49,845","46,302","42,446","38,866","34,865","32,158","27,728","23,600","20,342","18,396","16,054","12,148","9,548","7,748","6,426","4,532","3,633","2,837","2,134","1,573","1,007",674,458,942,,,,,,,,,,,,,,,,,,,
九十八年  2009,計,T.,"23,119,772","182,599","198,792","205,828","206,680","208,261","218,735","227,730","246,345","257,029","306,088","282,817","267,424","323,311","322,328","324,051","321,989","325,840","319,312","317,552","333,634","308,740","338,926","306,931","298,800","336,529","363,309","375,713","397,484","409,213","405,122","414,687","403,595","384,659","417,878","361,275","355,618","354,918","354,596","365,020","374,842","375,897","374,978","356,943","382,641","377,656","383,835","389,124","382,774","376,846","372,896","369,263","357,010","338,857","349,589","341,011","322,373","309,739","302,559","305,857","257,314","238,136","209,038","183,031","148,147","132,410","154,147","156,028","152,029","152,131","149,740","141,068","129,976","126,161","116,660","113,653","107,414","100,696","97,964","96,877","93,079","85,144","77,998","69,499","62,847","53,920","43,570","36,255","32,111","27,186","19,909","15,269","11,964","9,462","6,605","5,064","3,927","2,863","2,325","1,257",849,"2,001",,,,,,,,,,,,,,,,,,,
,男,M.,"11,636,734","94,987","103,901","107,606","108,014","108,505","114,760","119,284","128,792","133,742","159,755","147,699","139,156","168,384","167,728","167,989","167,511","168,971","166,775","166,133","174,262","160,012","175,407","158,700","153,372","171,772","185,261","190,418","200,579","206,145","202,711","208,094","202,284","191,696","208,989","179,559","176,831","177,049","175,889","182,044","187,394","188,150","188,330","179,728","191,828","189,249","192,802","194,686","191,733","188,724","186,704","183,879","177,568","167,930","173,347","169,309","159,064","152,696","149,199","150,144","126,495","116,615","102,367","89,179","71,914","63,810","74,367","75,058","72,394","72,340","70,304","65,457","60,167","57,965","53,620","52,069","49,727","47,622","47,857","48,758","48,591","44,503","41,025","36,497","32,608","28,099","21,790","17,687","15,430","12,815","9,224","7,006","5,293","4,050","2,878","2,121","1,660","1,185","1,118",504,358,977,,,,,,,,,,,,,,,,,,,
,女,F.,"11,483,038","87,612","94,891","98,222","98,666","99,756","103,975","108,446","117,553","123,287","146,333","135,118","128,268","154,927","154,600","156,062","154,478","156,869","152,537","151,419","159,372","148,728","163,519","148,231","145,428","164,757","178,048","185,295","196,905","203,068","202,411","206,593","201,311","192,963","208,889","181,716","178,787","177,869","178,707","182,976","187,448","187,747","186,648","177,215","190,813","188,407","191,033","194,438","191,041","188,122","186,192","185,384","179,442","170,927","176,242","171,702","163,309","157,043","153,360","155,713","130,819","121,521","106,671","93,852","76,233","68,600","79,780","80,970","79,635","79,791","79,436","75,611","69,809","68,196","63,040","61,584","57,687","53,074","50,107","48,119","44,488","40,641","36,973","33,002","30,239","25,821","21,780","18,568","16,681","14,371","10,685","8,263","6,671","5,412","3,727","2,943","2,267","1,678","1,207",753,491,"1,024",,,,,,,,,,,,,,,,,,,
九十九年  2010,計,T.,"23,162,123","157,282","194,878","199,174","205,877","206,882","208,559","218,802","227,587","246,303","257,053","306,172","282,913","267,446","323,201","322,182","324,004","321,846","325,606","319,270","317,428","333,226","308,580","338,831","306,920","299,180","337,166","364,087","376,639","398,624","410,183","406,051","415,398","404,260","385,187","418,214","361,631","355,813","355,012","354,496","364,752","374,518","375,419","374,378","356,333","381,797","376,802","382,708","388,120","381,698","375,540","371,565","367,825","355,516","337,439","348,047","339,427","320,707","307,945","300,659","303,791","255,475","236,234","207,244","181,528","146,800","131,133","152,327","153,950","149,869","149,571","146,912","138,294","127,218","122,942","113,520","110,214","103,822","96,860","93,934","92,379","88,185","80,379","73,035","64,559","57,947","49,290","39,353","32,464","28,389","23,774","17,237","12,950","10,024","7,817","5,368","4,034","3,099","2,207","1,812",914,"2,111",,,,,,,,,,,,,,,,,,,
,男,M.,"11,635,225","82,126","101,439","104,093","107,613","108,129","108,672","114,809","119,218","128,772","133,762","159,794","147,738","139,158","168,323","167,653","167,938","167,400","168,798","166,668","165,930","173,868","159,917","175,370","158,636","153,276","171,601","185,146","190,275","200,383","205,899","202,469","207,778","201,934","191,355","208,577","179,239","176,458","176,739","175,455","181,577","186,856","187,542","187,631","179,098","191,013","188,454","191,808","193,752","190,798","187,654","185,584","182,741","176,380","166,808","172,196","168,095","157,787","151,382","147,801","148,609","125,211","115,261","101,141","88,151","70,976","62,897","73,166","73,703","71,039","70,748","68,609","63,804","58,478","56,073","51,806","50,094","47,637","45,433","45,488","45,962","45,597","41,586","37,983","33,571","29,772","25,423","19,407","15,633","13,459","11,084","7,922","5,870","4,374","3,330","2,326","1,676","1,327",926,896,376,"1,036",,,,,,,,,,,,,,,,,,,
,女,F.,"11,526,898","75,156","93,439","95,081","98,264","98,753","99,887","103,993","108,369","117,531","123,291","146,378","135,175","128,288","154,878","154,529","156,066","154,446","156,808","152,602","151,498","159,358","148,663","163,461","148,284","145,904","165,565","178,941","186,364","198,241","204,284","203,582","207,620","202,326","193,832","209,637","182,392","179,355","178,273","179,041","183,175","187,662","187,877","186,747","177,235","190,784","188,348","190,900","194,368","190,900","187,886","185,981","185,084","179,136","170,631","175,851","171,332","162,920","156,563","152,858","155,182","130,264","120,973","106,103","93,377","75,824","68,236","79,161","80,247","78,830","78,823","78,303","74,490","68,740","66,869","61,714","60,120","56,185","51,427","48,446","46,417","42,588","38,793","35,052","30,988","28,175","23,867","19,946","16,831","14,930","12,690","9,315","7,080","5,650","4,487","3,042","2,358","1,772","1,281",916,538,"1,075",,,,,,,,,,,,,,,,,,,
一○○年  2011,計,T.,"23,224,912","187,442","168,973","195,292","199,181","206,102","207,160","208,625","218,674","227,582","246,345","257,113","306,123","282,810","267,329","323,039","322,077","323,906","321,577","325,496","319,181","317,024","332,919","308,446","338,701","306,912","299,485","337,709","364,816","377,358","399,470","410,838","406,516","415,899","404,520","385,293","418,300","361,487","355,795","354,800","354,209","364,386","373,948","374,707","373,551","355,468","380,842","375,804","381,658","386,911","380,523","374,222","370,277","366,290","354,092","336,025","346,406","337,755","319,026","306,139","298,788","301,790","253,545","234,434","205,584","179,968","145,327","129,637","150,388","151,696","147,490","146,827","144,217","135,247","124,073","119,586","110,176","106,491","99,874","92,807","89,632","87,634","83,180","75,179","67,856","59,593","52,977","44,619","35,264","28,688","24,782","20,549","14,507","10,748","8,141","6,261","4,185","3,100","2,363","1,646","1,368","2,141",,,,,,,,,,,,,,,,,,,
,男,M.,"11,645,674","97,271","88,055","101,637","104,072","107,711","108,288","108,715","114,749","119,243","128,782","133,796","159,780","147,691","139,104","168,251","167,562","167,869","167,213","168,667","166,503","165,546","173,713","159,866","175,282","158,526","153,143","171,466","185,018","190,105","200,235","205,638","202,168","207,502","201,568","190,997","208,191","178,803","176,194","176,304","175,004","181,048","186,266","186,888","186,871","178,353","190,205","187,608","190,927","192,689","189,772","186,596","184,500","181,607","175,239","165,679","170,928","166,767","156,506","150,017","146,438","147,152","123,817","114,010","99,980","87,035","69,901","61,885","71,902","72,250","69,552","69,031","66,969","61,998","56,616","54,057","49,871","47,978","45,309","43,080","42,971","43,115","42,603","38,422","34,907","30,597","26,865","22,718","17,228","13,620","11,588","9,447","6,579","4,819","3,497","2,622","1,823","1,288","1,017",704,692,"1,027",,,,,,,,,,,,,,,,,,,
,女,F.,"11,579,238","90,171","80,918","93,655","95,109","98,391","98,872","99,910","103,925","108,339","117,563","123,317","146,343","135,119","128,225","154,788","154,515","156,037","154,364","156,829","152,678","151,478","159,206","148,580","163,419","148,386","146,342","166,243","179,798","187,253","199,235","205,200","204,348","208,397","202,952","194,296","210,109","182,684","179,601","178,496","179,205","183,338","187,682","187,819","186,680","177,115","190,637","188,196","190,731","194,222","190,751","187,626","185,777","184,683","178,853","170,346","175,478","170,988","162,520","156,122","152,350","154,638","129,728","120,424","105,604","92,933","75,426","67,752","78,486","79,446","77,938","77,796","77,248","73,249","67,457","65,529","60,305","58,513","54,565","49,727","46,661","44,519","40,577","36,757","32,949","28,996","26,112","21,901","18,036","15,068","13,194","11,102","7,928","5,929","4,644","3,639","2,362","1,812","1,346",942,676,"1,114",,,,,,,,,,,,,,,,,,,
